North Carolina,Stanford,11

Wisconsin,Victoria,8

North Carolina,Wisconsin,4

Victoria,Stanford,2
Carleton College-CUT
North Carolina,Victoria,3
Carleton College-CUT
Wisconsin,Stanford,1
Carleton College-CUT
Brown,Colorado State,4

Carleton College,Washington,2

Colorado State,Washington,1

Brown,Carleton College,3

Washington,Brown,1

Carleton College,Colorado State,1

Brigham Young,Northwestern,2

Ohio State,California,1

Ohio State,Brigham Young,1

Oregon,California,6

California,Brigham Young,1

Oregon,Northwestern,5

Brigham Young,Oregon,1

Ohio State,NortCarleton College-CUT

California,Northwestern,7

Carleton College-CUT,2

Cal Poly-SLO,Colorado,1

Cal Poly-SLO,Carleton College-CUT
Carleton College-CUT
Texas,Colorado,3

Texas,Cal Poly-SLO,3

Colorado,Minnesota,1

Texas,Minnesota,1

Brigham Young,Stanford,3

Northwestern,Stanford,1

Washington,Minnesota,1

Washington,Stanford,3

Minnesota,Northwestern,4

Washington,Northwestern,8

Minnesota,Stanford,7

North Carolina,Brown,5

North Carolina,Texas,7

Brown,Cal Poly-SLO,2

North Carolina,Carleton College,1

Texas,Ohio State,2

Cal Poly-SLO,Oregon,1

Brown,Colorado,2

Carleton College,California,6

Ohio State,Colorado State,2

Cal Poly-SLO,Victoria,6

Colorado,Wisconsin,3

Colorado,Carleton College,3

Carleton College,Ohio State,1

Colorado,Oregon,1

Oregon,Ohio State,7

Colorado State,California,4

California,Wisconsin,1

Colorado State,Victoria,6

Wisconsin,Victoria,9

