Indiana,Case Western Reserve,13,11
Kentucky,RIT,10,11
Indiana,RIT,13,7
Kentucky,Case Western Reserve,8,9
Case Western Reserve,RIT,13,10
Indiana,Kentucky,11,5
Purdue,University of Pittsburgh B,13,4
Ohio,Vanderbilt,13,9
Purdue,Vanderbilt,13,7
Ohio,University of Pittsburgh B,13,8
Purdue,Ohio,13,11
University of Pittsburgh B,Vanderbilt,12,7
Dayton,Trine,13,5
Ball State,Ohio Northern,13,7
Dayton,Ball State,13,6
Xavier,Ohio Northern,13,4
Ohio Northern,Trine,9,13
Xavier,Ball State,13,9
Dayton,Ohio Northern,13,4
Xavier,Trine,13,4
Dayton,Xavier,13,7
Ball State,Trine,13,7
Syracuse,Kenyon,13,4
Knox,Wright State,12,11
Syracuse,Knox,11,9
Oberlin,Wright State,13,6
Wright State,Kenyon,4,13
Oberlin,Knox,10,9
Syracuse,Wright State,13,6
Oberlin,Kenyon,13,6
Syracuse,Oberlin,13,7
Knox,Kenyon,13,11
Lehigh,John Carroll,13,5
Northwestern B,Toledo,4,12
Lehigh,Northwestern B,13,3
Rochester,Toledo,9,6
Toledo,John Carroll,11,7
Rochester,Northwestern B,10,5
Lehigh,Toledo,13,2
Rochester,John Carroll,13,2
Lehigh,Rochester,9,8
Northwestern B,John Carroll,13,8
Michigan B,Case Western Reserve B,13,6
Ohio State-B,Western Michigan,12,13
Michigan B,Ohio State-B,12,7
Cedarville,Western Michigan,11,8
Western Michigan,Case Western Reserve B,10,12
Cedarville,Ohio State-B,13,3
Michigan B,Western Michigan,13,0
Cedarville,Case Western Reserve B,13,1
Michigan B,Cedarville,13,10
Ohio State-B,Case Western Reserve B,12,11
Indiana,Ohio,15,8
Indiana,Case Western Reserve,15,9
Ohio,Purdue,13,10
Indiana,Syracuse,13,9
Case Western Reserve,University of Pittsburgh B,14,9
Ohio,Michigan B,15,6
Kentucky,Purdue,8,15
Indiana,Xavier,15,7
Vanderbilt,Syracuse,9,12
Case Western Reserve,Cedarville,13,9
University of Pittsburgh B,Lehigh,15,11
Ohio,Rochester,15,8
RIT,Michigan B,14,15
Kentucky,Dayton,12,11
Purdue,Oberlin,15,8
Case Western Reserve,Purdue,8,15
Syracuse,Michigan B,7,15
Syracuse,University of Pittsburgh B,10,9
Michigan B,Kentucky,11,8
University of Pittsburgh B,Kentucky,10,11
Lehigh,Oberlin,11,13
Vanderbilt,Lehigh,10,14
RIT,Oberlin,7,11
Xavier,Vanderbilt,6,14
Cedarville,Lehigh,8,15
Rochester,RIT,11,12
Dayton,Oberlin,7,11
Vanderbilt,RIT,14,9
Cedarville,Dayton,9,10
Xavier,Cedarville,12,13
Rochester,Dayton,8,14
Xavier,Rochester,5,8
Ball State,Knox,15,0
Ball State,Wright State,15,9
Knox,Toledo,12,10
Ball State,John Carroll,15,5
Case Western Reserve B,Wright State,11,12
Knox,Trine,15,11
Toledo,Ohio Northern,15,10
Trine,Western Michigan,15,0
Ohio State-B,Ohio Northern,5,15
Wright State,Northwestern B,15,9
Kenyon,John Carroll,13,14
Wright State,Toledo,0,15
Case Western Reserve B,Ohio Northern,11,15
John Carroll,Case Western Reserve B,0,15
Trine,Ohio Northern,9,15
John Carroll,Trine,0,15
Kenyon,Ohio State-B,15,0
Kenyon,Northwestern B,12,10
Western Michigan,Ohio State-B,9,11
Northwestern B,Western Michigan,15,0
