William,Virginia Commonwealth,7
Virginia Tech,Radford,11
William,Radford,8
Virginia Tech,Virginia Commonwealth,11
Virginia Tech,William,4
Virginia Commonwealth,Radford,5
Virginia,James Madison,1
Liberty,George Mason,7
Virginia,George Mason,4
James Madison,Liberty,1
Virginia,Liberty,6
James Madison,George Mason,5
Virginia Tech,Virginia,3
Virginia Tech,James Madison,9
Virginia,Liberty,9
Virginia Tech,George Mason,7
James Madison,Virginia Commonwealth,7
Liberty,William,1
Virginia,Radford,13
William,Virginia,7
William,Liberty,11
Liberty,George Mason,5
William,James Madison,2
George Mason,Virginia Commonwealth,1
William,Radford,12
James Madison,George Mason,11
Virginia Commonwealth,Radford,5
