North Georgia,Berry,6,13
Belmont,Stetson,13,11
North Georgia,Stetson,13,5
Belmont,Berry,6,15
North Georgia,Belmont,13,6
Berry,Stetson,13,4
Samford,Embry-Riddle Florida,15,11
Union Tennessee,Florida Tech,6,13
Samford,Florida Tech,7,15
Union Tennessee,Embry-Riddle Florida,12,14
Samford,Union Tennessee,15,8
Embry-Riddle Florida,Florida Tech,9,15
Berry,Florida Tech,14,11
Berry,Samford,15,13
North Georgia,Florida Tech,11,12
Berry,Union Tennessee,15,10
Samford,Belmont,15,12
North Georgia,Embry-Riddle Florida,15,5
Florida Tech,Stetson,15,3
Embry-Riddle Florida,Stetson,15,11
Samford,North Georgia,10,11
